epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,343.767,0.80294,0.39882,0.89808,0.88562,0.96427,0.95167,0.76554,0.76615,0.45435,0.8894,0.0007921,0.0007921,0.0007921
44,351.431,0.80266,0.39986,0.88324,0.91786,0.94542,0.97228,0.78891,0.75911,0.44057,0.88201,0.00078715,0.00078715,0.00078715
45,359.119,0.82611,0.40797,0.9173,0.90162,0.99963,0.98217,0.78214,0.78865,0.39879,0.89505,0.0007822,0.0007822,0.0007822
46,366.808,0.78379,0.39202,0.88454,0.90076,0.98926,0.96058,0.76549,0.79192,0.40363,0.899,0.00077725,0.00077725,0.00077725
47,374.657,0.77744,0.40367,0.87671,0.91103,0.99586,0.9595,0.78691,0.76874,0.39158,0.88766,0.0007723,0.0007723,0.0007723
48,382.346,0.7895,0.39104,0.88644,0.92298,0.98804,0.96352,0.79813,0.76647,0.37686,0.88756,0.00076735,0.00076735,0.00076735
49,390.056,0.82188,0.40516,0.89513,0.92566,0.99103,0.9711,0.79298,0.77068,0.38295,0.89045,0.0007624,0.0007624,0.0007624
50,398.032,0.79522,0.40014,0.87863,0.9185,0.98995,0.97294,0.78255,0.87379,0.3962,0.92229,0.00075745,0.00075745,0.00075745
51,405.948,0.80328,0.39937,0.89144,0.9107,0.98733,0.97294,0.78611,0.86926,0.40372,0.91706,0.0007525,0.0007525,0.0007525
52,413.654,0.84733,0.40375,0.8905,0.8992,0.98472,0.96707,0.78816,0.77589,0.41197,0.89397,0.00074755,0.00074755,0.00074755
53,421.419,0.78907,0.38967,0.87674,0.89469,0.98148,0.95862,0.76865,0.83944,0.43783,0.9183,0.0007426,0.0007426,0.0007426
54,429.232,0.74856,0.38135,0.86112,0.87258,0.98196,0.95485,0.76458,0.76561,0.39148,0.88512,0.00073765,0.00073765,0.00073765
